Pidilite Industries Limited,PIDILITIND
Spectrum Electrical Industries Limited,SPECTRUM
Spencer's Retail Limited,SPENCERS
Southern Petrochemicals Industries Corporation  Limited,SPIC
SPL Industries Limited,SPLIL
Supreme Petrochem Limited,SPLPETRO
SPML Infra Limited,SPMLINFRA
Sportking India Limited,SPORTKING
Shankar Lal Rampal Dye-Chem Limited,SRD
Sreeleathers Limited,SREEL
SRF Limited,SRF
SRG Housing Finance Limited,SRGHFL
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
SRM Contractors Limited,SRM
Shree Ram Proteins Limited,SRPL
Saraswati Saree Depot Limited,SSDL
Steel Strips Wheels Limited,SSWL
Stallion India Fluorochemicals Limited,STALLION
Stanley Lifestyles Limited,STANLEY
Strides Pharma Science Limited,STAR
Star Cement Limited,STARCEMENT
Star Health and Allied Insurance Company Limited,STARHEALTH
Star Paper Mills Limited,STARPAPER
Starteck Finance Limited,STARTECK
The State Trading Corporation of India Limited,STCINDIA
Steelcast Limited,STEELCAS
Steel City Securities Limited,STEELCITY
STEEL EXCHANGE INDIA LIMITED,STEELXIND
Stel Holdings Limited,STEL
Sterling Tools Limited,STERTOOLS
Sterlite Technologies Limited,STLTECH
Stove Kraft Limited,STOVEKRAFT
Stylam Industries Limited,STYLAMIND
Baazar Style Retail Limited,STYLEBAAZA
Styrenix Performance Materials Limited,STYRENIX
Subex Limited,SUBEXLTD
Subros Limited,SUBROS
Sudarshan Chemical Industries Limited,SUDARSCHEM
Sukhjit Starch & Chemicals Limited,SUKHJITS
Sula Vineyards Limited,SULA
Sumitomo Chemical India Limited,SUMICHEM
Sumit Woods Limited,SUMIT
Summit Securities Limited,SUMMITSEC
Sundaram Clayton Limited,SUNCLAY
Sundaram Multi Pap Limited,SUNDARAM
Sundaram Finance Limited,SUNDARMFIN
Sundaram Finance Holdings Limited,SUNDARMHLD
Sundaram Brake Linings Limited,SUNDRMBRAK
Sundram Fasteners Limited,SUNDRMFAST
Sundrop Brands Limited,SUNDROP
Sunflag Iron And Steel Company Limited,SUNFLAG
Sun Pharmaceutical Industries Limited,SUNPHARMA
Sunteck Realty Limited,SUNTECK
Sun TV Network Limited,SUNTV
Superhouse Limited,SUPERHOUSE
Super Spinning Mills Limited,SUPERSPIN
Suprajit Engineering Limited,SUPRAJIT
Supreme Holdings & Hospitality (India) Limited,SUPREME
Supreme Engineering Limited,SUPREMEENG
Supreme Industries Limited,SUPREMEIND
Supreme Infrastructure India Limited,SUPREMEINF
Supriya Lifescience Limited,SUPRIYA
Suraj Estate Developers Limited,SURAJEST
Suraj Limited,SURAJLTD
Suraksha Diagnostic Limited,SURAKSHA
Surana Solar Limited,SURANASOL
Surana Telecom and Power Limited,SURANAT&P
Suryalakshmi Cotton Mills Limited,SURYALAXMI
Surya Roshni Limited,SURYAROSNI
Suryoday Small Finance Bank Limited,SURYODAY
Sutlej Textiles and Industries Limited,SUTLEJTEX
Suumaya Industries Limited,SUULD
Suven Life Sciences Limited,SUVEN
Suven Pharmaceuticals Limited,SUVENPHAR
Suvidhaa Infoserve Limited,SUVIDHAA
Suyog Telematics Limited,SUYOG
Suzlon Energy Limited,SUZLON
Shree Vasu Logistics Limited,SVLL
SVP GLOBAL TEXTILES LIMITED,SVPGLOB
Swan Energy Limited,SWANENERGY
Swaraj Engines Limited,SWARAJENG
Swelect Energy Systems Limited,SWELECTES
Swiggy Limited,SWIGGY
Sterling and Wilson Renewable Energy Limited,SWSOLAR
Symphony Limited,SYMPHONY
Syncom Formulations (India) Limited,SYNCOMF
Syngene International Limited,SYNGENE
Syrma SGS Technology Limited,SYRMA
Tainwala Chemical and Plastic (I) Limited,TAINWALCHM
Taj GVK Hotels & Resorts Limited,TAJGVK
Take Solutions Limited,TAKE
Talbros Automotive Components Limited,TALBROAUTO
Tanla Platforms Limited,TANLA
Tara Chand InfraLogistic Solutions Limited,TARACHAND
Tarapur Transformers Limited,TARAPUR
TARC Limited,TARC
Transformers And Rectifiers (India) Limited,TARIL
Tarmat Limited,TARMAT
Tarsons Products Limited,TARSONS
Tasty Bite Eatables Limited,TASTYBITE
Tata Chemicals Limited,TATACHEM
Tata Communications Limited,TATACOMM
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
Tata Elxsi Limited,TATAELXSI
Tata Investment Corporation Limited,TATAINVEST
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tata Technologies Limited,TATATECH
Tatva Chintan Pharma Chem Limited,TATVA
TBO Tek Limited,TBOTEK
Tribhovandas Bhimji Zaveri Limited,TBZ
Transport Corporation of India Limited,TCI
TCI Express Limited,TCIEXP
TCI Finance Limited,TCIFINANCE
TCPL Packaging Limited,TCPLPACK
Tata Consultancy Services Limited,TCS
TD Power Systems Limited,TDPOWERSYS
Teamlease Services Limited,TEAMLEASE
Tech Mahindra Limited,TECHM
Techno Electric & Engineering Company Limited,TECHNOE
TECIL Chemicals and Hydro Power Limited,TECILCHEM
Tega Industries Limited,TEGA
Tejas Networks Limited,TEJASNET
Tembo Global Industries Limited,TEMBO
Tera Software Limited,TERASOFT
Texmaco Infrastructure & Holdings Limited,TEXINFRA
Texmo Pipes and Products Limited,TEXMOPIPES
Texmaco Rail & Engineering Limited,TEXRAIL
Tourism Finance Corporation of India Limited,TFCILTD
Transwarranty Finance Limited,TFL
TGB Banquets And Hotels Limited,TGBHOTELS
Thangamayil Jewellery Limited,THANGAMAYL
The Investment Trust Of India Limited,THEINVEST
Thejo Engineering Limited,THEJO
Themis Medicare Limited,THEMISMED
Thermax Limited,THERMAX
Thomas Cook  (India)  Limited,THOMASCOOK
Thomas Scott (India) Limited,THOMASCOTT
Thyrocare Technologies Limited,THYROCARE
Tilaknagar Industries Limited,TI
Twamev Construction and Infrastructure Limited,TICL
Technocraft Industries (India) Limited,TIIL
Tube Investments of India Limited,TIINDIA
Tijaria Polypipes Limited,TIJARIA
TIL Limited,TIL
Times Guaranty Limited,TIMESGTY
Time Technoplast Limited,TIMETECHNO
Timken India Limited,TIMKEN
Tips Films Limited,TIPSFILMS
Tips Music Limited,TIPSMUSIC
Thirumalai Chemicals Limited,TIRUMALCHM
Tirupati Forge Limited,TIRUPATIFL
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
Titan Company Limited,TITAN
Tamilnad Mercantile Bank Limited,TMB
Tamilnadu PetroProducts Limited,TNPETRO
Tamil Nadu Newsprint & Papers Limited,TNPL
Tamilnadu Telecommunication Limited,TNTELE
Tokyo Plast International Limited,TOKYOPLAST
Tolins Tyres Limited,TOLINS
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Total Transport Systems Limited,TOTAL
Touchwood Entertainment Limited,TOUCHWOOD
Teamo Productions HQ Limited,TPHQ
TPL Plastech Limited,TPLPLASTEH
Tracxn Technologies Limited,TRACXN
Transrail Lighting Limited,TRANSRAILL
TRANSWORLD SHIPPING LINES LIMITED,TRANSWORLD
Tree House Education & Accessories Limited,TREEHOUSE
TREJHARA SOLUTIONS LIMITED,TREJHARA
Transindia Real Estate Limited,TREL
Trent Limited,TRENT
TRF Limited,TRF
Trident Limited,TRIDENT
Trigyn Technologies Limited,TRIGYN
Triveni Turbine Limited,TRITURBINE
Triveni Engineering & Industries Limited,TRIVENI
TruCap Finance Limited,TRU
TTK Healthcare Limited,TTKHLTCARE
TTK Prestige Limited,TTKPRESTIG
T T Limited,TTL
Tata Teleservices (Maharashtra) Limited,TTML
TVS Electronics Limited,TVSELECT
TVS Holdings Limited,TVSHLTD
TVS Motor Company Limited,TVSMOTOR
TVS Supply Chain Solutions Limited,TVSSCS
TVS Srichakra Limited,TVSSRICHAK
TV Today Network Limited,TVTODAY
TV Vision Limited,TVVISION
United Breweries Limited,UBL
UCAL LIMITED,UCAL
UCO Bank,UCOBANK
Udaipur Cement Works Limited,UDAICEMENT
Updater Services Limited,UDS
Ujaas Energy Limited,UEL
UFLEX Limited,UFLEX
UFO Moviez India Limited,UFO
The Ugar Sugar Works Limited,UGARSUGAR
Ugro Capital Limited,UGROCAP
Ujjivan Small Finance Bank Limited,UJJIVANSFB
UltraTech Cement Limited,ULTRACEMCO
Uma Exports Limited,UMAEXPORTS
Umang Dairies Limited,UMANGDAIRY
Usha Martin Education & Solutions Limited,UMESLTD
Unichem Laboratories Limited,UNICHEMLAB
United Drilling Tools Limited,UNIDT
Unicommerce Esolutions Limited,UNIECOM
Uniphos Enterprises Limited,UNIENTER
Uniinfo Telecom Services Limited,UNIINFO
Unimech Aerospace and Manufacturing Limited,UNIMECH
Union Bank of India,UNIONBANK
Uniparts India Limited,UNIPARTS
United Spirits Limited,UNITDSPR
Unitech Limited,UNITECH
United Polyfab Gujarat Limited,UNITEDPOLY
The United Nilgiri Tea Estates Company Limited,UNITEDTEA
Univastu India Limited,UNIVASTU
Universal Cables Limited,UNIVCABLES
Universus Photo Imagings Limited,UNIVPHOTO
UNO Minda Limited,UNOMINDA
UPL Limited,UPL
Uravi Defence and Technology Limited,URAVIDEF
Urja Global Limited,URJA
Usha Martin Limited,USHAMART
Udayshivakumar Infra Limited,USK
UTI Asset Management Company Limited,UTIAMC
Utkarsh Small Finance Bank Limited,UTKARSHBNK
Uttam Sugar Mills Limited,UTTAMSUGAR
U. Y. Fincorp Limited,UYFINCORP
V2 Retail Limited,V2RETAIL
Vadilal Industries Limited,VADILALIND
Vaibhav Global Limited,VAIBHAVGBL
Vaishali Pharma Limited,VAISHALI
Vakrangee Limited,VAKRANGEE
Valiant Laboratories Limited,VALIANTLAB
Valiant Organics Limited,VALIANTORG
Vardhman Acrylics Limited,VARDHACRLC
Vardhman Polytex Limited,VARDMNPOLY
Varroc Engineering Limited,VARROC
Vascon Engineers Limited,VASCONEQ
Vaswani Industries Limited,VASWANI
Varun Beverages Limited,VBL
Vaxtex Cotfab Limited,VCL
Vedanta Limited,VEDL
Veedol Corporation Limited,VEEDOL
Venky's (India) Limited,VENKEYS
Ventive Hospitality Limited,VENTIVE
Venus Pipes & Tubes Limited,VENUSPIPES
Venus Remedies Limited,VENUSREM
Veranda Learning Solutions Limited,VERANDA
Vertoz Limited,VERTOZ
Vesuvius India Limited,VESUVIUS
Veto Switchgears And Cables Limited,VETO
V-Guard Industries Limited,VGUARD
Vardhman Holdings Limited,VHL
Viceroy Hotels Limited,VHLTD
Vidhi Specialty Food Ingredients Limited,VIDHIING
Vijaya Diagnostic Centre Limited,VIJAYA
Viji Finance Limited,VIJIFIN
Vikas EcoTech Limited,VIKASECO
Vikas Lifecare Limited,VIKASLIFE
Vimta Labs Limited,VIMTALABS
Vinati Organics Limited,VINATIORGA
Vintage Coffee And Beverages Limited,VINCOFE
Vindhya Telelinks Limited,VINDHYATEL
Vineet Laboratories Limited,VINEETLAB
Vinny Overseas Limited,VINNY
Vinyl Chemicals (India) Limited,VINYLINDIA
VIP Clothing Limited,VIPCLOTHNG
VIP Industries Limited,VIPIND
Vipul Limited,VIPULLTD
Virinchi Limited,VIRINCHI
Visaka Industries Limited,VISAKAIND
Visa Steel Limited,VISASTEEL
Vishnu Chemicals Limited,VISHNU
Vishwaraj Sugar Industries Limited,VISHWARAJ
Visagar Polytex Limited,VIVIDHA
VL E-Governance & IT Solutions Limited,VLEGOV
VLS Finance Limited,VLSFINANCE
V-Mart Retail Limited,VMART
Vishal Mega Mart Limited,VMM
Voltamp Transformers Limited,VOLTAMP
Voltas Limited,VOLTAS
Vishnu Prakash R Punglia Limited,VPRPL
Vraj Iron and Steel Limited,VRAJ
VRL Logistics Limited,VRLLOG
Vardhman Special Steels Limited,VSSL
VST Industries Limited,VSTIND
Vibhor Steel Tubes Limited,VSTL
V.S.T Tillers Tractors Limited,VSTTILLERS
Vardhman Textiles Limited,VTL
Waaree Energies Limited,WAAREEENER
VA Tech Wabag Limited,WABAG
Walchandnagar Industries Limited,WALCHANNAG
Wanbury Limited,WANBURY
Western Carriers (India) Limited,WCIL
Wealth First Portfolio Managers Limited,WEALTH
Websol Energy System Limited,WEBELSOLAR
Weizmann Limited,WEIZMANIND
Wonder Electricals Limited,WEL
Welspun Corp Limited,WELCORP
Welspun Enterprises Limited,WELENT
Welspun Investments and Commercials Limited,WELINV
Welspun Living Limited,WELSPUNLIV
Wendt (India) Limited,WENDT
WESTLIFE FOODWORLD LIMITED,WESTLIFE
WE WIN LIMITED,WEWIN
Wheels India Limited,WHEELS
Whirlpool of India Limited,WHIRLPOOL
Williamson Magor & Company Limited,WILLAMAGOR
Windlas Biotech Limited,WINDLAS
Windsor Machines Limited,WINDMACHIN
Winsome Yarns Limited,WINSOME
The Western India Plywoods Limited,WIPL
Wipro Limited,WIPRO
Wockhardt Limited,WOCKPHARMA
Wonderla Holidays Limited,WONDERLA
Worth Peripherals Limited,WORTH
W S Industries (I) Limited,WSI
West Coast Paper Mills Limited,WSTCSTPAPR
Xchanging Solutions Limited,XCHANGING
Xelpmoc Design And Tech Limited,XELPMOC
Xpro India Limited,XPROINDIA
Xtglobal Infotech Limited,XTGLOBAL
Yaari Digital Integrated Services Limited,YAARI
Yasho Industries Limited,YASHO
Yatharth Hospital & Trauma Care Services Limited,YATHARTH
Yatra Online Limited,YATRA
Yes Bank Limited,YESBANK
Yuken India Limited,YUKEN
Zaggle Prepaid Ocean Services Limited,ZAGGLE
Zee Entertainment Enterprises Limited,ZEEL
Zee Learn Limited,ZEELEARN
Zee Media Corporation Limited,ZEEMEDIA
Zenith Exports Limited,ZENITHEXPO
Zenith Steel Pipes & Industries Limited,ZENITHSTL
Zensar Technologies Limited,ZENSARTECH
Zen Technologies Limited,ZENTEC
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA
Zim Laboratories Limited,ZIMLAB
Zodiac Energy Limited,ZODIAC
Zodiac Clothing Company Limited,ZODIACLOTH
Zomato Limited,ZOMATO
Zota Health Care LImited,ZOTA
Zuari Agro Chemicals Limited,ZUARI
ZUARI INDUSTRIES LIMITED,ZUARIIND
Zydus Lifesciences Limited,ZYDUSLIFE
Zydus Wellness Limited,ZYDUSWELL
